指标名称,北京:常住人口,天津:常住人口,上海:常住人口,石家庄市:常住人口,太原市:常住人口,呼和浩特市:年末常住人口,沈阳市:年末总人口,大连市:年末总人口,长春市:年末户籍人口,哈尔滨市:年末总人口,南京市:常住人口,杭州市:年末总人口,宁波市:年末总人口,合肥市:常住人口,福州市:常住人口,厦门市:常住人口,南昌市:年末总人口,济南市:常住人口,青岛市:常住人口,郑州市:常住人口,武汉市:年末常住人口,长沙市:年末常住人口,广州市:常住人口,深圳市:常住人口,南宁市:常住人口,海口市:常住人口,重庆:常住人口,成都市:年末常住人口,贵阳市:常住人口,昆明市:常住人口,西安市:年末常住人口,兰州市:年末常住人口,西宁市:年末户籍人口,银川市:年末总人口,乌鲁木齐市:年末户籍人口,唐山市:常住人口,秦皇岛市:常住人口,包头市:年末常住人口,丹东市:年末总人口,锦州市:年末总人口,吉林市:年末户籍人口,牡丹江市:年末总人口,无锡市:常住人口,扬州市:常住人口,徐州市:常住人口,温州市:年末总人口,金华市:年末总人口,蚌埠市:户籍人口,安庆市:户籍人口,泉州市:常住人口,九江市:年末总人口,赣州市:年末总人口,烟台市:常住人口,济宁市:常住人口,洛阳市:常住人口,平顶山市:常住人口,襄阳市:年末常住人口,岳阳市:年末常住人口,宜昌市:年末常住人口,常德市:年末常住人口,惠州市:常住人口,韶关市:常住人口,湛江市:常住人口,桂林市:常住人口,北海市:常住人口,三亚市:户籍人口,泸州市:年末常住人口,南充市:年末常住人口,遵义市:常住人口,大理州:总人口
频率,年,年,年,年,年,年,年,年,年,年,年,年,年,年,年,年,年,年,年,年,年,年,年,年,年,年,年,年,年,年,年,年,年,年,年,年,年,年,年,年,年,年,年,年,年,年,年,年,年,年,年,年,年,年,年,年,年,年,年,年,年,年,年,年,年,年,年,年,年,年
单位,万人,万人,万人,万人,万人,万人,万人,万人,万人,万人,万人,万人,万人,万人,万人,万人,人,万人,万人,万人,万人,万人,万人,万人,万人,万人,万人,万人,万人,万人,万人,万人,人,人,万人,万人,万人,万人,万人,万人,万人,万人,万人,万人,万人,万人,万人,人,人,万人,人,人,万人,万人,万人,万人,万人,万人,万人,万人,万人,万人,万人,万人,万人,人,万人,万人,万人,万人
2020-12-31,2189.31,1386.60,2487.09,1064.05,530.41,344.61,759.10,600.60,754.84,949.26,931.47,804.59,611.90,936.99,829.13,516.40,6325268.14,920.24,1007.17,1260.06,1232.65,1004.79,1867.66,1756.01,874.16,287.34,3205.42,2093.78,598.70,846.01,1295.29,435.94,2109808.29,2353329.57,225.40,771.80,313.69,270.94,232.21,292.27,410.27,249.13,746.21,455.98,908.38,837.78,494.44,3887163.14,5229150.50,878.23,4936616.64,8741420.00,710.21,835.79,705.67,498.71,526.10,505.19,401.76,527.91,604.29,285.51,698.12,493.11,185.32,642240.36,425.41,560.76,660.67,362.86
2019-12-31,2153.60,1561.83,2428.14,1103.12,446.19,313.70,755.40,598.70,753.80,951.34,850.00,795.37,608.47,818.90,780.00,429.00,5600556.00,890.87,949.98,1035.16,1121.20,839.45,1530.59,1343.88,734.48,232.79,3124.32,1658.10,497.14,695.00,1020.35,379.09,2093673.00,2293085.00,223.83,796.42,314.63,289.69,232.90,293.40,411.61,250.40,659.15,454.90,882.56,832.36,491.93,3863000.00,5285800.00,874.00,4920275.00,8708023.00,713.80,835.60,692.22,502.57,568.00,577.13,413.79,577.15,488.00,303.04,736.00,511.23,170.07,634369.00,432.90,643.50,630.20,361.91
2018-12-31,2154.20,1559.60,2423.78,1095.16,442.15,312.64,745.10,595.20,751.29,951.50,843.62,774.10,602.96,808.74,774.00,411.00,5545544.00,746.04,939.48,1014.00,1108.10,815.47,1490.44,1302.66,725.41,230.23,3101.79,1633.00,488.19,685.00,1000.37,375.36,2073822.00,2250560.00,222.26,793.58,313.42,288.87,234.10,295.00,413.52,252.50,657.45,453.10,880.20,828.74,488.97,3839400.00,5284400.00,870.00,4896847.00,8677603.00,712.18,834.59,689.00,503.00,566.90,579.71,413.59,582.72,483.00,299.76,733.20,508.55,168.00,614647.00,432.40,644.00,627.07,359.93
2017-12-31,2170.70,1556.87,2418.33,1087.99,437.97,311.48,736.50,594.90,748.92,955.00,833.50,753.88,596.93,796.53,766.00,401.00,5463538.00,732.12,929.05,988.00,1089.29,791.81,1449.84,1252.83,715.33,227.21,3075.16,1604.47,480.20,678.30,961.67,372.96,2055817.00,2225391.00,222.62,789.70,311.08,287.77,235.20,296.30,415.35,247.80,655.30,450.82,876.35,824.55,485.52,3812500.00,5305000.00,865.00,4873276.00,8635583.00,708.94,837.59,682.00,500.00,565.40,573.33,413.56,584.48,477.70,297.92,730.50,505.75,166.33,592206.00,431.72,641.79,624.83,358.40
2016-12-31,2172.90,1562.12,2419.70,1078.46,434.44,308.87,733.90,595.60,753.43,962.10,827.00,736.00,590.96,786.90,757.00,392.00,5371425.00,723.31,920.40,972.39,1076.62,764.52,1404.35,1190.84,706.22,224.60,3048.43,1591.76,469.68,672.80,883.21,370.55,2032837.00,2191098.00,267.87,784.36,309.46,285.75,237.90,302.20,422.46,252.10,652.90,449.14,871.00,818.22,481.15,3795200.00,5291000.00,858.00,4847612.00,8588673.00,706.40,835.44,680.10,498.40,563.90,568.11,413.00,584.44,477.50,295.61,727.30,500.94,164.37,582303.00,430.64,640.22,622.84,356.30
2015-12-31,2170.50,1546.95,2415.27,1070.16,431.87,305.96,730.40,593.60,753.84,961.40,823.59,723.55,586.57,778.95,750.00,386.00,5302914.00,713.20,909.70,956.90,1060.77,743.18,1350.11,1137.87,698.61,222.30,3016.55,1465.75,462.18,667.70,870.56,369.31,2013583.00,2164119.00,266.83,780.12,307.32,282.93,238.10,302.60,426.24,255.00,651.10,448.36,866.90,811.21,478.09,3763500.00,5254800.00,851.00,4825811.00,8547062.00,701.41,829.92,674.30,496.00,561.40,562.92,411.50,584.39,475.55,293.15,724.14,496.16,162.57,577820.00,428.52,636.40,619.21,354.40
2014-12-31,2151.60,1516.81,2425.68,1061.62,429.89,303.06,730.80,594.30,754.55,987.30,821.61,715.76,583.78,769.58,743.00,381.00,5240179.00,706.79,904.62,937.80,1033.80,731.15,1308.05,1077.89,691.38,220.07,2991.40,1442.75,455.60,662.60,862.75,366.49,2026369.00,2128937.00,266.91,776.82,306.45,279.92,239.50,305.30,427.65,256.60,650.01,447.79,862.83,813.69,475.07,3710965.00,6208792.00,844.00,4806885.00,8507458.00,700.23,824.00,667.80,496.03,560.02,559.51,410.45,583.08,472.66,290.89,721.24,491.91,160.37,585564.00,425.00,633.38,615.49,352.70
2013-12-31,2114.80,1472.21,2415.15,1049.98,427.77,300.11,727.10,591.40,752.67,995.20,818.78,706.61,580.15,761.14,734.00,373.00,5184231.00,699.88,896.41,919.00,1022.00,722.14,1292.68,1062.89,685.37,217.11,2970.00,1429.76,452.19,657.90,858.81,364.16,2002515.00,2082695.00,262.93,770.80,304.52,276.62,239.60,305.90,429.11,265.10,648.41,447.00,859.10,807.24,473.35,3666028.00,6216623.00,836.00,4789449.00,8478051.00,698.93,820.58,662.00,496.00,559.12,555.90,409.83,580.48,470.00,289.27,716.71,488.05,159.02,576927.00,424.58,631.70,614.25,351.00
