年份,北京:新建商品住宅价格指数:当月环比,天津:新建商品住宅价格指数:当月环比,石家庄:新建商品住宅价格指数:当月环比,太原:新建商品住宅价格指数:当月环比,呼和浩特:新建商品住宅价格指数:当月环比,沈阳:新建商品住宅价格指数:当月环比,大连:新建商品住宅价格指数:当月环比,长春:新建商品住宅价格指数:当月环比,哈尔滨:新建商品住宅价格指数:当月环比,上海:新建商品住宅价格指数:当月环比,南京:新建商品住宅价格指数:当月环比,杭州:新建商品住宅价格指数:当月环比,宁波:新建商品住宅价格指数:当月环比,合肥:新建商品住宅价格指数:当月环比,福州:新建商品住宅价格指数:当月环比,厦门:新建商品住宅价格指数:当月环比,南昌:新建商品住宅价格指数:当月环比,济南:新建商品住宅价格指数:当月环比,青岛:新建商品住宅价格指数:当月环比,郑州:新建商品住宅价格指数:当月环比,武汉:新建商品住宅价格指数:当月环比,长沙:新建商品住宅价格指数:当月环比,广州:新建商品住宅价格指数:当月环比,深圳:新建商品住宅价格指数:当月环比,南宁:新建商品住宅价格指数:当月环比,海口:新建商品住宅价格指数:当月环比,成都:新建商品住宅价格指数:当月环比,贵阳:新建商品住宅价格指数:当月环比,昆明:新建商品住宅价格指数:当月环比,重庆:新建商品住宅价格指数:当月环比,西安:新建商品住宅价格指数:当月环比,兰州:新建商品住宅价格指数:当月环比,西宁:新建商品住宅价格指数:当月环比,银川:新建商品住宅价格指数:当月环比,乌鲁木齐:新建商品住宅价格指数:当月环比,唐山:新建商品住宅价格指数:当月环比,秦皇岛:新建商品住宅价格指数:当月环比,包头:新建商品住宅价格指数:当月环比,丹东:新建商品住宅价格指数:当月环比,锦州:新建商品住宅价格指数:当月环比,吉林市:新建商品住宅价格指数:当月环比,牡丹江:新建商品住宅价格指数:当月环比,无锡:新建商品住宅价格指数:当月环比,扬州:新建商品住宅价格指数:当月环比,徐州:新建商品住宅价格指数:当月环比,温州:新建商品住宅价格指数:当月环比,金华:新建商品住宅价格指数:当月环比,蚌埠:新建商品住宅价格指数:当月环比,安庆:新建商品住宅价格指数:当月环比,泉州:新建商品住宅价格指数:当月环比,九江:新建商品住宅价格指数:当月环比,赣州:新建商品住宅价格指数:当月环比,烟台:新建商品住宅价格指数:当月环比,济宁:新建商品住宅价格指数:当月环比,洛阳:新建商品住宅价格指数:当月环比,平顶山:新建商品住宅价格指数:当月环比,襄阳:新建商品住宅价格指数:当月环比,宜昌:新建商品住宅价格指数:当月环比,岳阳:新建商品住宅价格指数:当月环比,常德:新建商品住宅价格指数:当月环比,惠州:新建商品住宅价格指数:当月环比,湛江:新建商品住宅价格指数:当月环比,韶关:新建商品住宅价格指数:当月环比,桂林:新建商品住宅价格指数:当月环比,北海:新建商品住宅价格指数:当月环比,三亚:新建商品住宅价格指数:当月环比,泸州:新建商品住宅价格指数:当月环比,南充:新建商品住宅价格指数:当月环比,遵义:新建商品住宅价格指数:当月环比,大理:新建商品住宅价格指数:当月环比
2021,51406.34729,26407.95152,18431.82615,14295.00564,12095.01261,11855.55395,16138.58279,9292.835966,11573.37068,55071.14729,29565.86857,31302.03385,23625.08167,19385.00029,24947.43917,43470.60734,13159.43088,13900.05506,18029.72509,15599.826,19238.65379,8558.838237,45301.31481,61769.13649,13821.6542,17092.27289,15972.90148,10971.01337,17180.84052,9892.072411,13370.33323,12569.84161,10241.89868,6237.484107,8587.652035,14029.0297,14731.51445,8393.787329,6752.785492,4755.837805,6928.511035,5905.604542,17010.66207,14576.2869,11283.09844,19089.89898,19159.53718,8173.189312,8106.40252,19142.35796,8601.060027,7768.583478,8937.068861,7361.9268,9316.867725,5357.690055,8324.729673,8077.490729,7411.564444,7362.636954,12079.45321,13338.98102,5841.622123,7606.732968,6898.527816,34265.4508,8092.863985,7862.445497,6596.155981,17845.89706
2020,33709.17488,18634.75537,14993.67552,16494.19073,9449.764926,7891.963327,9573.292239,7983.408001,11957.16424,35387.34311,18549.86463,21849.23621,15330.54623,11566.30181,14839.57842,26361.39418,11729.80078,10568.16814,11590.77234,12891.08722,10948.61626,4612.506307,20440.97869,42754.29201,8979.495487,10781.0405,9986.162847,7744.051612,11463.81875,4890.464097,6429.836297,7225.069834,4948.783706,2405.701735,5816.750074,9606.228431,13769.34568,6607.737816,4235.490517,2926.252004,5244.575566,6735.012356,10378.01072,7016.351247,5555.632526,12765.18395,11176.68021,5584.035992,8988.164339,10182.0063,6234.341856,5238.209383,6101.036751,3266.642221,6811.706756,3938.419452,5444.120234,5563.653322,7565.482045,8530.335608,7503.967869,10211.1644,4781.209658,6742.908349,9377.764041,20811.94429,8708.997519,8614.789861,5896.188324,19745.30231
2019,23667.93402,17552.82137,9105.739406,14886.49406,3609.250277,3590.698728,5630.947374,4155.891356,6681.570119,24783.34743,11971.54302,13668.5386,8792.253845,9465.027935,10511.64374,19197.18979,9928.957217,13470.6907,8829.473574,12831.0544,5291.466631,2695.105,17011.2005,26615.52543,3853.509029,7363.762453,4173.371979,6813.495362,5816.094528,2860.352398,2821.930817,4498.502754,1631.178665,627.7775973,5117.200844,2728.916608,7406.088345,4470.77781,2240.138824,1267.827439,2504.835766,5348.319093,4582.553349,3096.68901,1953.888553,8476.679228,6350.53246,3770.623078,10053.51045,6414.412756,3298.818633,3584.747438,2841.990343,1604.232394,3431.425826,2402.2598,2780.382175,5783.503058,8355.256997,7984.445573,3940.562427,8905.755119,5374.634638,4732.941179,7378.419738,12429.36709,10940.54577,8557.418051,5194.125885,10265.06844
2018,16271.57936,14650.2125,2387.811415,6055.533713,685.0351186,1337.18913,1956.192555,1550.033346,2175.823033,20814.57936,8421.451216,6859.289818,4480.31112,5347.327171,4831.842127,16720.58666,4766.425368,5135.096142,3542.223725,6776.240767,1575.245993,1381.531846,6897.323447,23738.7694,1385.660371,2528.885414,1297.735953,1705.119621,1664.682117,1053.395009,533.3161924,2061.940275,498.0820022,258.6066756,2875.440982,908.1598652,1679.14853,2055.346439,773.5313421,431.3263152,814.991681,2080.6582,2264.865706,1031.681144,511.2823021,6474.00341,3599.193524,1967.045101,4868.479838,5505.558823,1353.454151,2096.703692,949.3644929,491.6304507,944.6947689,1035.120262,865.398109,2646.988564,5989.599311,3284.58925,2907.517334,4570.144055,3714.048855,1958.621235,2663.428711,6331.971294,5672.338543,3897.458281,2023.652492,1818.552055
2017,16300.3733,13133.07338,1375.524533,2737.489447,219.0067969,476.277231,633.5744734,606.0710698,701.6832608,21355.42361,9655.270998,6242.865241,2556.693703,4877.280579,4300.119666,15534.17012,2599.477755,2833.018765,1774.348261,4862.324809,1117.46048,672.4425432,5389.153171,27847.04237,693.7817467,854.1534785,812.2299221,515.7506434,468.4563983,450.9587536,142.0366654,1032.809332,239.8132662,130.7832353,1124.349416,412.9035601,671.0697423,856.000138,280.1484782,257.6212428,364.2285395,923.554095,2153.369441,456.1760712,176.680776,4411.26789,1869.475977,1347.267369,2954.612451,5267.494128,739.8919671,1533.770275,372.1701504,214.175069,478.3256252,535.2156839,420.1248052,1148.246894,2674.168356,1650.502575,2098.618599,2405.748534,2241.055626,972.7078387,1098.96681,2379.170641,2401.276197,1298.014633,770.7780588,638.6510734
2016,7643.310796,5745.424,526.7834389,1606.539247,169.914684,224.0067254,384.3623808,323.7553555,391.4918396,10679.84268,4186.579177,2684.045528,1198.757388,2007.267851,1930.555015,6040.24067,1097.118788,1139.639736,812.8413687,1864.298624,441.5801728,198.1217707,1518.297367,21402.81679,251.6471765,448.1445995,714.5713502,247.327104,254.3215042,169.4317147,46.59115172,713.0691361,174.7123524,104.1343004,980.916952,233.0082071,310.7963781,699.2758406,253.352599,268.0454758,231.2984667,748.5253833,742.6684005,149.1341067,63.08987536,2452.157954,751.1561854,438.3436714,1426.31918,2655.313108,242.3957077,616.1717772,188.0417424,120.1960501,209.1378828,315.4667528,247.2854364,493.385043,1199.667036,864.8333355,656.5223023,928.9072641,840.5213729,511.6519105,415.0313528,1241.571778,1688.88565,780.692683,523.2194414,453.3573187
2015,1046.264592,1311.724937,218.3255348,1316.783341,177.7786115,204.9931932,384.8888443,303.8113618,353.3025499,758.5946525,305.5090028,453.7053091,519.0734779,172.0739923,426.3531574,427.523623,447.0223204,483.747397,486.0371153,481.8500993,101.3795708,100.2788919,286.0278366,1252.094047,131.1024332,357.6678029,496.9018583,203.6736029,248.8923554,125.062334,36.22148169,608.2101319,186.87054,113.4828283,1190.54613,249.902619,300.2446129,849.4383779,344.1262904,420.4331442,238.8829068,926.9093254,179.2328792,109.0762893,44.79610277,1716.559255,521.6256422,393.7833998,1170.968265,2072.856272,171.4271647,400.4418302,156.4769794,137.923708,205.4898856,282.6729337,283.0490088,443.968437,1272.325077,917.6568999,223.6917403,887.355839,755.3778578,531.3042979,373.916124,1139.912668,1537.2906,843.3622492,551.0215408,455.0938222
2014,1034.169895,1753.045694,286.355227,1949.321204,374.2520018,464.5970184,806.0818677,499.5254861,576.7512075,641.6740161,333.3430227,908.9347881,728.3274938,222.2866168,775.0764221,390.0435529,747.8761095,728.1381913,1129.488653,503.5763752,134.6316805,207.0921463,335.3460708,228.7351124,203.6749648,605.3006758,840.7970868,295.6486963,455.3252923,228.2202376,60.26113466,907.3090833,320.0657667,201.6207907,1997.737851,401.398232,602.7020788,1904.427674,851.1095517,964.572814,399.4909615,1327.389215,291.364955,200.3397099,68.83188692,2262.062835,806.1393963,870.7271574,2060.849276,4775.435235,306.2710059,672.8511086,297.004703,220.3187649,361.2169926,465.5168931,546.2438885,764.3472608,2354.894194,1584.008514,469.3842547,2060.045291,1798.163172,1299.731514,652.667431,1867.844301,3480.881185,1749.143116,944.6785257,751.6159095
2013,561.0014615,1296.055729,193.832544,1230.306082,246.2118659,346.5993527,574.1995992,342.3284181,404.465658,345.0164494,194.2961762,848.9414953,613.616164,133.8375821,498.7606997,176.3896063,558.3574507,522.0581161,807.0809296,324.8489853,95.2367125,141.7402588,183.682819,125.9930198,140.9052679,560.4193781,616.6917587,215.5824559,338.5442991,169.138194,38.57946341,698.3409294,196.7855541,130.6540664,1345.25561,389.264977,482.1496159,1572.903464,618.0229494,646.6694182,298.5470259,1085.733479,258.9629901,145.1881159,50.14458892,3720.22339,674.8755395,762.9100805,1741.016769,3528.223983,244.9794465,514.1189666,203.8512957,155.3525459,252.8241898,315.3632818,425.3622435,563.8626517,1592.815662,1189.344299,321.8215003,1402.433994,1806.063979,837.333324,420.5982365,1479.442885,2432.57263,1281.966654,705.7693238,553.5322428
2012,146.5323347,754.5053773,108.5133766,607.631325,156.6185281,156.3596538,305.2078021,213.1067446,228.6854993,101.7641221,71.49016118,671.9086612,628.6894571,75.89165855,218.1512249,63.03506852,280.1785306,308.2725018,535.839554,141.262313,46.89103269,68.31499575,48.32602801,36.32125859,81.6462865,527.8010783,336.6865665,137.6670854,214.1343603,91.26373348,20.09308246,445.7855877,106.0290836,73.63320991,662.1727591,354.9924466,290.0815255,900.3089749,391.5901769,398.08932,184.0971516,792.8773733,185.7532884,102.7423921,28.06048933,7777.590525,618.8296063,582.8983154,1288.899787,2464.548406,166.0954876,319.3662955,138.0865354,93.64497261,164.3552188,196.2742326,249.9716382,317.2252701,868.7134898,809.2527912,216.5023443,757.7687244,1162.380864,513.7537571,269.743301,1187.690307,1412.78544,588.7871723,454.8310989,435.4666715
